1329345.70312, 16335, 32720, 33663
1334381.10352, 16331, 32728, 33670
1339416.50391, 16335, 32727, 33668
1344451.90430, 16335, 32731, 33663
1349487.30469, 16344, 32723, 33663
1354522.70508, 16339, 32723, 33670
1359558.10547, 16320, 32728, 33667
1364593.50586, 16316, 32732, 33664
1369628.90625, 16335, 32732, 33673
1374664.30664, 16340, 32724, 33665
1379699.70703, 16337, 32723, 33663
1384735.10742, 16323, 32734, 33670
1389770.50781, 16325, 32729, 33672
1394805.90820, 16318, 32724, 33672
1399841.30859, 16335, 32723, 33664
1404876.70898, 16337, 32722, 33659
1409912.10938, 16331, 32726, 33667
1414947.50977, 16335, 32724, 33667
1419982.91016, 16332, 32728, 33673
1425018.31055, 16344, 32720, 33667
1430053.71094, 16320, 32728, 33665
1435089.11133, 16331, 32720, 33665
1440124.51172, 16332, 32729, 33668
1445159.91211, 16328, 32727, 33671
1450195.31250, 16342, 32721, 33670
1455230.71289, 16339, 32720, 33668
1460266.11328, 16334, 32729, 33669
1465301.51367, 16336, 32721, 33663
1470336.91406, 16325, 32732, 33660
1475372.31445, 16326, 32736, 33660
1480407.71484, 16332, 32736, 33671
1485443.11523, 16337, 32719, 33671
1490478.51562, 16339, 32720, 33665
1495513.91602, 16332, 32731, 33675
1500549.31641, 16337, 32715, 33663
1505584.71680, 16327, 32728, 33679
1510620.11719, 16323, 32730, 33665
1515655.51758, 16331, 32716, 33678
1520690.91797, 16335, 32724, 33670
1525726.31836, 16335, 32727, 33667
1530761.71875, 16339, 32720, 33668
1535797.11914, 16339, 32726, 33668
1540832.51953, 16319, 32732, 33659
1545867.91992, 16332, 32718, 33662
1550903.32031, 16335, 32732, 33664
1555938.72070, 16342, 32719, 33679
1560974.12109, 16319, 32732, 33691
1566009.52148, 16323, 32736, 33682
1571044.92188, 16329, 32723, 33679
1576080.32227, 16337, 32729, 33684
1581115.72266, 16336, 32723, 33670
1586151.12305, 16343, 32720, 33660
1591186.52344, 16336, 32727, 33660
1596221.92383, 16333, 32726, 33667
1601257.32422, 16341, 32720, 33656
1606292.72461, 16327, 32732, 33667
1611328.12500, 16332, 32732, 33667
1616363.52539, 16316, 32727, 33671
1621398.92578, 16327, 32740, 33667
1626434.32617, 16324, 32727, 33665
1631469.72656, 16327, 32728, 33675
1636505.12695, 16313, 32732, 33663
1641540.52734, 16327, 32723, 33688
1646575.92773, 16334, 32729, 33659
1651611.32812, 16337, 32727, 33647
1656646.72852, 16339, 32724, 33656
1661682.12891, 16328, 32735, 33657
1666717.52930, 16340, 32726, 33654
1671752.92969, 16327, 32732, 33667
